track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,Prediksi_Popularity
3517,6289,4,0,True,577,77,2812821,413,3621,4646,2383,9,0,1.55,0
2002,4285,1,0,True,2408,64,2363438,154,3013,2818,2383,1,2,3.07,0
8346,2428,1,4,True,1824,48,193302,661,2161,1653,2383,1,2,2.55,4
6696,5507,8,30,True,577,77,2813710,413,3621,4646,2383,9,0,1.69,30
1227,7291,2,0,True,1868,48,8682,182,70,4642,2382,2,2,2.39,0
5040,497,1,2,False,1487,46,7218,182,1543,392,2382,3,2,2.76,2
3725,5791,1,20,False,44,30,1657,661,894,3778,2382,1,2,4.12,20
1698,7036,1,27,False,1868,49,8802,182,70,4642,2382,2,2,2.53,27
5260,1305,1,16,False,2262,6,475,661,4026,909,2382,2,2,2.92,16
362,3259,1,33,True,1754,48,154802,439,2125,2190,2381,1,2,2.4,33
6333,5538,1,30,False,2360,25,814,661,150,3612,2380,4,2,2.49,30
4911,4457,1,48,False,29,46,13826,88,3399,2920,2379,14,0,2.89,48
406,4914,5,65,False,512,85,11137714,661,631,3494,2379,12,0,4.41,65
7653,3383,2,0,True,1662,17,3567,661,482,1729,2379,6,2,2.05,0
6673,3655,11,27,False,29,46,13590,88,3399,2920,2379,14,0,4.25,27
2238,4013,2,67,True,1261,74,735818,661,4597,2927,2379,7,2,2.75,67
495,137,1,31,False,1039,23,1518,661,4868,138,2379,1,2,2.73,31
1276,503,3,33,False,29,46,13826,88,3399,2920,2379,14,0,2.92,33
580,888,1,11,False,1941,3,364,661,565,648,2379,1,2,2.91,11
864,1015,1,30,False,1214,23,13770,661,1383,717,2379,1,2,2.43,30
2855,1438,1,35,False,2388,35,729,661,1756,1005,2379,1,2,2.91,35
3304,1705,1,52,False,2133,67,3134186,476,4272,1168,2379,4,2,3.78,52
2621,1845,1,22,False,2015,17,543,661,3260,1258,2379,3,2,4.26,22
2851,7329,2,59,True,150,74,1378935,661,4724,2203,2379,14,0,2.82,59
8426,6284,1,1,True,2399,24,166,661,1875,4231,2379,1,2,2.62,1
2519,6287,14,32,False,29,46,13826,88,3399,2920,2379,14,0,3.26,32
